__CLASS__,contract_time,salary_is_predicted,company,id,created,redirect_url,title,category,location,salary_max,contract_type,salary_min,adref,description,longitude,latitude
Adzuna::API::Response::Job,full_time,0,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'ITOL Recruit'}",5611860221,2026-02-03T16:08:41Z,https://www.adzuna.co.uk/jobs/land/ad/5611860221?se=8IOoqoQH8RGT1uycjIUY3g&utm_medium=api&utm_source=aa88ce77&v=57C4A979C254543340B1C9B7F1B8915DA5B0B13E,Data Analyst Trainee,"{'label': 'IT Jobs', 'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}","{'display_name': 'UK', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK']}",50000.0,permanent,30000.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTYxMTg2MDIyMSIsInMiOiI4SU9vcW9RSDhSR1QxdXljaklVWTNnIn0.kogPNW37Hli-bS3ufzRKkONDmHXq3hNiURQg6DzU98Q,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",,
Adzuna::API::Response::Job,,1,"{'display_name': 'Hays', '__CLASS__': 'Adzuna::API::Response::Company'}",5601257731,2026-01-26T21:44:26Z,https://www.adzuna.co.uk/jobs/land/ad/5601257731?se=8IOoqoQH8RGT1uycjIUY3g&utm_medium=api&utm_source=aa88ce77&v=E7FC4351564B6859BF1949AD17410D2D8E85FA22,Junior Data Analyst,"{'label': 'IT Jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs'}","{'area': ['UK', 'East Midlands', 'Leicestershire', 'Loughborough'], 'display_name': 'Loughborough, Leicestershire', '__CLASS__': 'Adzuna::API::Response::Location'}",28025.75,permanent,28025.75,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOElPb3FvUUg4UkdUMXV5Y2pJVVkzZyIsImkiOiI1NjAxMjU3NzMxIn0.T1IRtg0Fxxg4HKoP59RflQ6G8hMUiVkccAENtaNzLPQ,"Job Description Junior Data Analyst | ASAP Start | Permanent Role | Loughborough Based Junior Data AnalystLoughborough £30,000 per annum Monday–Friday | Office‑based (Hybrid after probation) ASAP Start A fantastic opportunity has arisen for a motivated and detail‑driven Junior Data Analyst to join a growing organisation based in Loughborough. This role is perfect for someone who loves working with data, enjoys problem‑solving, and wants to develop their analytical skills within a supportive tea…",-1.20435,52.770802
Adzuna::API::Response::Job,full_time,1,"{'display_name': 'NG Bailey', '__CLASS__': 'Adzuna::API::Response::Company'}",5624478734,2026-02-11T17:23:54Z,https://www.adzuna.co.uk/jobs/land/ad/5624478734?se=8IOoqoQH8RGT1uycjIUY3g&utm_medium=api&utm_source=aa88ce77&v=5DB5C370EE7B0D85166284B98F4C685809D9DD73,HR Data Analyst,"{'label': 'HR & Recruitment Jobs', 'tag': 'hr-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}","{'area': ['UK', 'Yorkshire And The Humber', 'West Yorkshire', 'Leeds'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Leeds, West Yorkshire'}",46434.42,permanent,46434.42,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOElPb3FvUUg4UkdUMXV5Y2pJVVkzZyIsImkiOiI1NjI0NDc4NzM0In0.HKpD2S5-OqolGWGzUjvrtGYormi3drqATYtsPKxhq1U,"HR Data Analyst Leeds – hybrid Permanent Summary We are seeking a strategic and detail-focused HR Data Analyst to enhance how we capture, manage, and use people data. This role is pivotal in ensuring that HR data is accurate, compliant, and insightful which will be supporting both legislative requirements and business decision-making. You will take the lead in designing a fit-for-purpose suite of reports and dashboards, improving data accessibility for employees and managers, and uncovering and…",-1.54912,53.799599
Adzuna::API::Response::Job,full_time,1,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'High Finance  Limited T/A HFG'}",5596408525,2026-01-22T23:23:51Z,https://www.adzuna.co.uk/jobs/land/ad/5596408525?se=8IOoqoQH8RGT1uycjIUY3g&utm_medium=api&utm_source=aa88ce77&v=2E1B052E029610AAD87DF82EE4FFC125FC5146D4,Senior Data Analyst,"{'label': 'Accounting & Finance Jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'accounting-finance-jobs'}","{'area': ['UK', 'London'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'London, UK'}",82027.19,permanent,82027.19,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOElPb3FvUUg4UkdUMXV5Y2pJVVkzZyIsImkiOiI1NTk2NDA4NTI1In0.PK2krA7zc83Tc3lLOwxuexHSY64dne4He7r5rXRU22I,"An exciting, city-based Insurance MGA business is looking to appoint a Senior Data Analyst to play a crucial role in managing data and data feeds from all areas of the business and will be accountable for building the data flows and applying validation / controls. Key Requirements: · Strong London Market Insurance experience · At least 5 years data analytics experience · Strong Excel capabilities · Strong Power-BI skills · Ability to work in a fast-paced environment · Proven track record in han…",,
Adzuna::API::Response::Job,,0,"{'display_name': 'Purple Giraffe Recruitment Ltd', '__CLASS__': 'Adzuna::API::Response::Company'}",5624532823,2026-02-11T18:51:55Z,https://www.adzuna.co.uk/jobs/land/ad/5624532823?se=8IOoqoQH8RGT1uycjIUY3g&utm_medium=api&utm_source=aa88ce77&v=04A488C39AC6F8C99DF5730F0BC8BCE943CE41EE,Senior Data Analyst,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs', 'label': 'IT Jobs'}","{'area': ['UK', 'Scotland', 'Glasgow'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Glasgow, Scotland'}",40000.0,permanent,40000.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTYyNDUzMjgyMyIsInMiOiI4SU9vcW9RSDhSR1QxdXljaklVWTNnIn0.oQk5m8vCXb5tJmW1EqfF66oPVNDhWedlt6F0gwKSRng,"Permanent Office based Based: Glasgow G40 Team Size: 6 Job Contract: Permanent Shift work Reporting: 2 Direct Reports We are seeking an experienced Senior Data Analyst to join our client's dynamic team. The successful candidate will be responsible for analysing complex data sets, developing insightful visualisations, and supporting strategic decision-making processes. This role offers an excellent opportunity to utilise advanced data analysis skills and contribute to impactful projects within a…",-4.25596,55.86026
Adzuna::API::Response::Job,full_time,0,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'FELIX CONSULTANTS PRIVATE LIMITED'}",5603800590,2026-01-28T19:25:20Z,https://www.adzuna.co.uk/jobs/details/5603800590?utm_medium=api&utm_source=aa88ce77,DATA ANALYST,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs', 'label': 'IT Jobs'}","{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Solihull, West Midlands', 'area': ['UK', 'West Midlands', 'Solihull']}",29000.0,permanent,29000.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTYwMzgwMDU5MCIsInMiOiI4SU9vcW9RSDhSR1QxdXljaklVWTNnIn0.oMbFf6P9g7NXt9eNwmMqjb_QD_VqkGD11kSZatKbgWw,"We are seeking a detail-oriented and analytical Data Analyst to support data-driven decision-making across the organization. The ideal candidate will collect, analyze, and interpret data to generate actionable insights, support business operations, and improve overall performance. This role is suitable for candidates with foundational to intermediate experience in data analysis. Key Responsibilities Collect, clean, and validate data from multiple sources to ensure accuracy and consistency Analy…",-1.7743,52.4147
Adzuna::API::Response::Job,full_time,0,"{'display_name': 'Apex Group', '__CLASS__': 'Adzuna::API::Response::Company'}",5596922807,2026-01-23T05:46:40Z,https://www.adzuna.co.uk/jobs/details/5596922807?utm_medium=api&utm_source=aa88ce77,Data Analyst,"{'label': 'Admin Jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'admin-jobs'}","{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'London, UK', 'area': ['UK', 'London']}",28412.0,permanent,28412.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU5NjkyMjgwNyIsInMiOiI4SU9vcW9RSDhSR1QxdXljaklVWTNnIn0.x4FkB6lrhXp5LPcbFrP1ayKGReMt13uTYCw5QsYByvs,"The Apex Group was established in Bermuda in 2003 and is now one of the world’s largest fund administration and middle office solutions providers. Our business is unique in its ability to reach globally, service locally and provide cross-jurisdictional services. With our clients at the heart of everything we do, our hard-working team has successfully delivered on an unprecedented growth and transformation journey, and we are now represented by over circa 13,000 employees across 112 offices worl…",-0.139134,51.503378
Adzuna::API::Response::Job,part_time,0,"{'display_name': 'REED Specialist Recruitment', '__CLASS__': 'Adzuna::API::Response::Company'}",5615157615,2026-02-05T04:07:52Z,https://www.adzuna.co.uk/jobs/land/ad/5615157615?se=8IOoqoQH8RGT1uycjIUY3g&utm_medium=api&utm_source=aa88ce77&v=20D050A0D32FB6A11405AF1FD48E4C841C289E70,Power BI Data Analyst,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs', 'label': 'IT Jobs'}","{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Belfast, Northern Ireland', 'area': ['UK', 'Northern Ireland', 'Belfast']}",35000.0,,35000.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOElPb3FvUUg4UkdUMXV5Y2pJVVkzZyIsImkiOiI1NjE1MTU3NjE1In0.Zr21qGFjWpnW1f8QjSYhkUoYpU6WQbvUksVv3-Jr9Zg,"BI Analyst - Belfast (On site) - Part Time REED Technology are delighted to partner with an excellent retail organisation who are seeking a Power BI analyst to join their Belfast based team. In this role, you will play a key part in transforming data into meaningful insights that support operational excellence and help drive strategic decision-making across the business. Working closely with key stakeholders, you will design, develop and maintain professional dashboards and reports that ensure …",,
Adzuna::API::Response::Job,full_time,1,"{'display_name': 'Thames Water', '__CLASS__': 'Adzuna::API::Response::Company'}",5623298838,2026-02-10T20:58:06Z,https://www.adzuna.co.uk/jobs/land/ad/5623298838?se=8IOoqoQH8RGT1uycjIUY3g&utm_medium=api&utm_source=aa88ce77&v=831DDAF6D0249F0F1EA53D4DFE50D1EEFFFF9F0E,Environmental Data Analyst Apprentice,"{'label': 'Admin Jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'admin-jobs'}","{'area': ['UK', 'South East England', 'Berkshire', 'Reading'], 'display_name': 'Reading, Berkshire', '__CLASS__': 'Adzuna::API::Response::Location'}",27089.29,permanent,27089.29,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOElPb3FvUUg4UkdUMXV5Y2pJVVkzZyIsImkiOiI1NjIzMjk4ODM4In0.-1J8cx_Cb5uqVLSyxJBwoVQRQXfT7qDO07zCVJDUk2A,"Ready to kick-start your future in Data Analysis? Join us as an Environmental Data Analyst Apprentice and make a real impact at the UK’s largest water and wastewater provider. You’ll help reduce enforcement risk, strengthen environmental performance, and work in a dedicated team responding to the Environment Agency. Along the way, you’ll earn a respected Level 4 Data Analyst qualification. What you’ll be doing as an Environmental Data Analyst Apprentice: Help reduce enforcement risk linked to e…",-0.969088,51.455002
Adzuna::API::Response::Job,,0,"{'display_name': 'Hays', '__CLASS__': 'Adzuna::API::Response::Company'}",5610291297,2026-02-02T13:25:15Z,https://www.adzuna.co.uk/jobs/land/ad/5610291297?se=8IOoqoQH8RGT1uycjIUY3g&utm_medium=api&utm_source=aa88ce77&v=E92B25F69DE45ACA8A427F1FFD931499BD771153,Temporary HR & Reward Data Analyst,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs', 'label': 'IT Jobs'}","{'display_name': 'Birmingham, West Midlands', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK', 'West Midlands', 'Birmingham']}",41600.0,permanent,37440.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTYxMDI5MTI5NyIsInMiOiI4SU9vcW9RSDhSR1QxdXljaklVWTNnIn0.Rxq4kNOBIAtsKk1V5JnuZ4p9wk6Lfllgaf5InQ66xPQ,"About the Opportunity We are currently recruiting for a large not-for-profit organisation in Birmingham. They are seeking an experienced HR & Reward Data Analyst to support the People & Reward team during a period of increased project activity. This is a fantastic opportunity for someone who is highly analytical, detail‑driven, and confident in turning complex HR and reward data into clear, meaningful insights that drive decision‑making. What You’ll Be Doing Managing, cleansing, and analysing H…",,
