__CLASS__,id,company,created,latitude,adref,salary_is_predicted,longitude,salary_min,title,contract_time,salary_max,category,location,description,redirect_url,contract_type
Adzuna::API::Response::Job,5569664372,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'DataAnnotation'}",2026-01-06T09:38:09Z,54.510899,eyJhbGciOiJIUzI1NiJ9.eyJzIjoidG1xMnFZUUg4Ukdldi1wNU5GRW12USIsImkiOiI1NTY5NjY0MzcyIn0.8RTA-3wBTg5d9hVA1C5y-pG3vp1g9KuPNX0kEBqRCSY,1,-6.04273,61072.46,Data Scientist,part_time,61072.46,"{'tag': 'it-jobs', 'label': 'IT Jobs', '__CLASS__': 'Adzuna::API::Response::Category'}","{'display_name': 'Lisburn, Northern Ireland', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK', 'Northern Ireland', 'Lisburn']}","Job Description Join the DataAnnotation team and contribute to developing cutting-edge AI systems, while enjoying the flexibility of remote work and setting your own schedule. We are looking for an expert Mathematician (part-time work from home) to help advance AI development. As a member of DataAnnotation’s Math team, you’ll be part of a growing community of over 100,000 experts who are driving real-world impact in AI development. Our platform offers an engaging blend of flexibility and challe…",https://www.adzuna.co.uk/jobs/land/ad/5569664372?se=tmq2qYQH8RGev-p5NFEmvQ&utm_medium=api&utm_source=aa88ce77&v=98D7D2305C7810FB95462ECA790F4459E39D1EA0,
Adzuna::API::Response::Job,5596414443,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Harnham - Data & Analytics Recruitment'}",2026-01-22T23:30:30Z,,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU5NjQxNDQ0MyIsInMiOiJ0bXEycVlRSDhSR2V2LXA1TkZFbXZRIn0.rlMPREZU40tjqkXpcn4NrD9R0hwhYLRH5dcLzvFAAxg,0,,30000.0,Data Scientist- Fintech,full_time,65000.0,"{'label': 'IT Jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs'}","{'display_name': 'London, UK', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK', 'London']}","DATA SCIENTIST- FINTECH LONDON UP TO £65,000 Join a fast-growing, data-driven FinTech expanding rapidly in the US- they operate across personal loans, credit cards, and auto finance, and are widely regarded as a leader in digital lending. THE ROLE You'll join a compact US-focused Data Science team, taking full ownership of the end-to-end model lifecycle. This isn't a traditional ""build and hand off"" role, you'll manage everything from data collection to feature engineering, model development, t…",https://www.adzuna.co.uk/jobs/land/ad/5596414443?se=tmq2qYQH8RGev-p5NFEmvQ&utm_medium=api&utm_source=aa88ce77&v=091D21E2E1A92A8FF2101D5375EB5426A05721F0,permanent
Adzuna::API::Response::Job,5621595075,"{'display_name': 'DWP Digital', '__CLASS__': 'Adzuna::API::Response::Company'}",2026-02-09T18:16:48Z,53.791971,eyJhbGciOiJIUzI1NiJ9.eyJzIjoidG1xMnFZUUg4Ukdldi1wNU5GRW12USIsImkiOiI1NjIxNTk1MDc1In0.tj2BkKKyFewPgxOFqTav2zb7sv35NNjLNV-8u-Ca9P0,0,-2.99954,55000.0,Data Scientist,,55000.0,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT Jobs', 'tag': 'it-jobs'}","{'area': ['UK', 'North West England', 'Lancashire', 'Staining'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Staining, Lancashire'}","Data Scientist Pay up to £57,367, plus 28.97% employer pension contributions, hybrid working, flexible hours, and great work-life balance. Are you a data scientist who wants your work to have real impact in helping prepare a major government department for the future of automation and AI? As a Data Scientist in DWP Digital, you'll work on automation and AI-driven enhancements within the ServiceNow platform, including the Virtual Agent - our conversational interface that helps colleagues get sup…",https://www.adzuna.co.uk/jobs/land/ad/5621595075?se=tmq2qYQH8RGev-p5NFEmvQ&utm_medium=api&utm_source=aa88ce77&v=3D362A11D72D15A32AAB115C18FD095A28218231,permanent
Adzuna::API::Response::Job,5618511065,"{'display_name': 'Ocho', '__CLASS__': 'Adzuna::API::Response::Company'}",2026-02-07T03:17:30Z,,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTYxODUxMTA2NSIsInMiOiJ0bXEycVlRSDhSR2V2LXA1TkZFbXZRIn0.uYeqQt8cB03qF_rpJtz4beejhTkTzE0OE1-jMXGyJQ4,0,,75000.0,Lead Data Scientist,,75000.0,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT Jobs', 'tag': 'it-jobs'}","{'display_name': 'Belfast, Northern Ireland', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK', 'Northern Ireland', 'Belfast']}","Job description Lead Data Scientist Location: Hybrid (Belfast) Eligibility: UK work authorisation required We're hiring a Lead Data Scientist to drive high-impact data and AI work while leading and mentoring a growing data science team. This role blends technical leadership, people management, and close collaboration with customers to deliver meaningful, data-led solutions. Why join? * Senior role with real influence over projects, people, and direction * Mix of leadership, hands-on problem sol…",https://www.adzuna.co.uk/jobs/land/ad/5618511065?se=tmq2qYQH8RGev-p5NFEmvQ&utm_medium=api&utm_source=aa88ce77&v=5F9E98705BD5CC3A15644DED5960C0FE154C0188,
Adzuna::API::Response::Job,5605662035,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'THE IDOLS GROUP LIMITED'}",2026-01-30T00:54:41Z,51.451818,eyJhbGciOiJIUzI1NiJ9.eyJzIjoidG1xMnFZUUg4Ukdldi1wNU5GRW12USIsImkiOiI1NjA1NjYyMDM1In0.5uJg_EcC0DtYA5ozIVKQxtzkhw42gFCNbnEHsbkrgFQ,0,-0.02806,100000.0,Head of Data Science,,100000.0,"{'tag': 'it-jobs', 'label': 'IT Jobs', '__CLASS__': 'Adzuna::API::Response::Category'}","{'area': ['UK', 'London', 'South East London'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'South East London, London'}","Head of Data Science Salary: £115K - £125K  bonus Location: Manchester 2-4 days a month The Opportunity We're working with a high-growth business that is scaling its data function to the next level. Data scientists here have traditionally combined reporting with predictive modelling, but the business is now creating a dedicated leadership role to bring focus, structure and engineering rigour to the discipline. As Head of Data Science, you'll lead a growing team of 6 scientists embedded across p…",https://www.adzuna.co.uk/jobs/land/ad/5605662035?se=tmq2qYQH8RGev-p5NFEmvQ&utm_medium=api&utm_source=aa88ce77&v=9C4A72C764094442C8CAF3F8D91F1CEA88E85C42,permanent
Adzuna::API::Response::Job,5624308269,"{'display_name': 'Hays', '__CLASS__': 'Adzuna::API::Response::Company'}",2026-02-11T14:59:53Z,,eyJhbGciOiJIUzI1NiJ9.eyJzIjoidG1xMnFZUUg4Ukdldi1wNU5GRW12USIsImkiOiI1NjI0MzA4MjY5In0.lK-wPXeOLPxuC8VsX_5y6fI1oBu4gywgjRESV3Nd3a0,1,,65557.26,Lead Data Scientist,,65557.26,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT Jobs', 'tag': 'it-jobs'}","{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK', 'Northern Ireland', 'Belfast'], 'display_name': 'Belfast, Northern Ireland'}","Are you an experienced Lead Data Scientist looking to shape AI strategy, mentor a high-performing team, and work on cutting-edge LLM and generative AI projects? Our client, a growing data & AI consultancy, is hiring a technical leader to drive innovation and deliver high-impact solutions for customers across multiple industries. This role includes leading a team of four and acting as deputy for the Engineering Manager when required. ? Why This Role Stands Out Work with advanced machine learning…",https://www.adzuna.co.uk/jobs/land/ad/5624308269?se=tmq2qYQH8RGev-p5NFEmvQ&utm_medium=api&utm_source=aa88ce77&v=23C5839D38A64154866F4A451B7FBFDE703D8288,permanent
Adzuna::API::Response::Job,5585754813,"{'display_name': 'Anson Mccade', '__CLASS__': 'Adzuna::API::Response::Company'}",2026-01-15T06:38:05Z,,eyJhbGciOiJIUzI1NiJ9.eyJzIjoidG1xMnFZUUg4Ukdldi1wNU5GRW12USIsImkiOiI1NTg1NzU0ODEzIn0.6cDR87J2jtzGmSidhbenAfmB0KTu8nKrXwpSZcJ3-S4,0,,65000.0,Senior Data Scientist,,65000.0,"{'tag': 'it-jobs', 'label': 'IT Jobs', '__CLASS__': 'Adzuna::API::Response::Category'}","{'display_name': 'London, UK', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK', 'London']}","Senior Data Scientist £45,000 - £65,000 GBP £7,000 DV Bonus Hybrid WORKING Location: Central London, Greater London - United Kingdom Type: Permanent Role: Senior Data Scientist Area : National Security Projects Location: London (Hybrid) - 3 days per week Security : Eligibility for Developed Vetting Clearance with the UK Government Salary: Up to £65k  £7k annual DV bonus (once obtained) About the Role: This is a unique opportunity to apply advanced data science in the national security domain. Y…",https://www.adzuna.co.uk/jobs/land/ad/5585754813?se=tmq2qYQH8RGev-p5NFEmvQ&utm_medium=api&utm_source=aa88ce77&v=2611FABB5F542A8A5EB6547D40A5964160FF8877,permanent
Adzuna::API::Response::Job,5608088185,"{'display_name': 'DWP Digital', '__CLASS__': 'Adzuna::API::Response::Company'}",2026-02-01T02:26:45Z,,eyJhbGciOiJIUzI1NiJ9.eyJzIjoidG1xMnFZUUg4Ukdldi1wNU5GRW12USIsImkiOiI1NjA4MDg4MTg1In0.WmmheUZQITGiNC5eET8fybq_KuUi6cyLIv-aNsYgiIY,0,,75000.0,Senior Data Scientist,,75000.0,"{'label': 'IT Jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs'}","{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK', 'North West England', 'Greater Manchester', 'Manchester'], 'display_name': 'Manchester, Greater Manchester'}","Job Title: Senior Data Scientist Pay of up to £75,493, plus 28.97% employer pension contributions, hybrid working, flexible hours, and great work life balance. A degree or higher in STEM ( Science, Technology, engineering, or mathematics) is essential for this role, and evidence of qualification will be requested. Are you ready to take on a leadership role where your data science expertise can influence decisions, drive innovation, and inspire meaningful change? Do you want the opportunity to h…",https://www.adzuna.co.uk/jobs/land/ad/5608088185?se=tmq2qYQH8RGev-p5NFEmvQ&utm_medium=api&utm_source=aa88ce77&v=591903A1681987490CEAB64EBE86E233A025E91E,permanent
Adzuna::API::Response::Job,5612487879,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'DWP Digital'}",2026-02-03T22:43:23Z,53.383099,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTYxMjQ4Nzg3OSIsInMiOiJ0bXEycVlRSDhSR2V2LXA1TkZFbXZRIn0.DrfNF3G5EpeRMt1NsSbKIwiVhnTWF0JZv5xAg5rj8ZQ,0,-1.4648,75000.0,Senior Data Scientist,,75000.0,"{'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT Jobs'}","{'display_name': 'Sheffield, South Yorkshire', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK', 'Yorkshire And The Humber', 'South Yorkshire', 'Sheffield']}","Job Title: Senior Data Scientist Pay of up to £75,493, plus 28.97% employer pension contributions, hybrid working, flexible hours, and great work life balance. A degree or higher in STEM ( Science, Technology, engineering, or mathematics) is essential for this role, and evidence of qualification will be requested. DWP. Digital with Purpose. Are you ready to take on a leadership role where your data science expertise can influence decisions, drive innovation, and inspire meaningful change? Do yo…",https://www.adzuna.co.uk/jobs/land/ad/5612487879?se=tmq2qYQH8RGev-p5NFEmvQ&utm_medium=api&utm_source=aa88ce77&v=FBBB7F089ED41AB72BE6C9598E21BE6586629030,permanent
Adzuna::API::Response::Job,5593995130,"{'display_name': 'Randstad Digital', '__CLASS__': 'Adzuna::API::Response::Company'}",2026-01-21T15:23:19Z,55.86026,eyJhbGciOiJIUzI1NiJ9.eyJzIjoidG1xMnFZUUg4Ukdldi1wNU5GRW12USIsImkiOiI1NTkzOTk1MTMwIn0.4MhWE3LnFi2gWDrimdCsUKro15hsKmVr2KqN_7q29uA,0,-4.25596,65000.0,Data Science Practitioner,,97500.0,"{'label': 'IT Jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs'}","{'area': ['UK', 'Scotland', 'Glasgow'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Glasgow, Scotland'}","We are looking for a senior Data Science Practitioner to lead the charge in designing and delivering AI/ML-based decision-making frameworks. You won't just build models; you will be the architect of business outcomes, translating complex data into measurable value. As a subject matter expert, you will mentor a high-performing team, manage cross-functional integrations, and stay at the bleeding edge of AI (RAG, MCP, and SageMaker) to keep our projects ahead of the curve. What You'll Do Architect…",https://www.adzuna.co.uk/jobs/land/ad/5593995130?se=tmq2qYQH8RGev-p5NFEmvQ&utm_medium=api&utm_source=aa88ce77&v=632F3B61F13E49AF55BE918D883ECB54F7EF9EB4,contract
