title,contract_type,created,__CLASS__,salary_is_predicted,location,longitude,latitude,category,redirect_url,description,salary_min,id,adref,company,contract_time,salary_max
Facilities Manager,permanent,2026-02-01T16:26:08Z,Adzuna::API::Response::Job,0,"{'display_name': 'Heathfield, Newton Abbot', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK', 'South West England', 'Devon', 'Newton Abbot', 'Heathfield']}",-3.655487,50.577755,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'trade-construction-jobs', 'label': 'Trade & Construction Jobs'}",https://www.adzuna.co.uk/jobs/land/ad/5608841685?se=1AUSroQH8RGEi8BzCNsJ8g&utm_medium=api&utm_source=aa88ce77&v=BB1CB123B007906094B79191A6D7549F942AE016,"Work Smarter. Live Better. Join the 4-Day Working Week! Job Title: Facilities Manager Location: The Greater Horseshoe School, Heathfield, TQ12 6RH Salary: From £30,000.00 per annum ( not pro rata ) Hours: 37.5 hours per week | Monday to Friday | 8am-4pm Contract: Permanent | 52 Weeks Start: March 2026 UK applicants only. This role does not offer sponsorship. At Outcomes First Group, we believe in better work/life balance — and we’re putting wellbeing first. That’s why we’re proud to be part of …",30000.0,5608841685,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTYwODg0MTY4NSIsInMiOiIxQVVTcm9RSDhSR0VpOEJ6Q05zSjhnIn0.EKvcH7CrLHKCPvDJsZrFrXp7opExgIwsf-EL8dPfXe0,"{'display_name': 'Outcomes First Group', '__CLASS__': 'Adzuna::API::Response::Company'}",,
Nursery Manager,contract,2026-02-01T07:21:35Z,Adzuna::API::Response::Job,0,"{'display_name': 'Littlemore, Oxford', 'area': ['UK', 'South East England', 'Oxfordshire', 'Oxford', 'Littlemore'], '__CLASS__': 'Adzuna::API::Response::Location'}",-1.22668,51.716912,"{'label': 'Teaching Jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'teaching-jobs'}",https://www.adzuna.co.uk/jobs/land/ad/5608388934?se=1AUSroQH8RGEi8BzCNsJ8g&utm_medium=api&utm_source=aa88ce77&v=36E78B199ED596DE3E26F6F11242634D29DE386D,"Role Overview: Join Our Team at Busy Bees Oxford Littlmore - FTC for 6 months (Mat cover) – Leading Nursery Group in the UK Are you a superstar in early years education, ready to sprinkle joy and ignite little imaginations? Busy Bees Oxford Littlemore is on the lookout for a Nursery Manager who’s bursting with energy, creativity, and a love for helping young minds grow! If you’ve got your Level 3 childcare qualification , plus 2 years of leading a team in an early years setting, we want your sp…",39000.0,5608388934,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTYwODM4ODkzNCIsInMiOiIxQVVTcm9RSDhSR0VpOEJ6Q05zSjhnIn0.zlaNei-pGcCVNQH-5mkswnbEnLqNCXwjOM0VbpZStwQ,"{'display_name': 'Busy Bees', '__CLASS__': 'Adzuna::API::Response::Company'}",full_time,45000.0
Partnerships Manager,,2026-01-30T15:27:58Z,Adzuna::API::Response::Job,1,"{'display_name': 'Liverpool, Merseyside', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK', 'North West England', 'Merseyside', 'Liverpool']}",-2.97784,53.410801,"{'label': 'Consultancy Jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'consultancy-jobs'}",https://www.adzuna.co.uk/jobs/land/ad/5606160497?se=1AUSroQH8RGEi8BzCNsJ8g&utm_medium=api&utm_source=aa88ce77&v=EFEBBE9DB87B6DC4C34BF5220CA016CE22708439,"Location : Hybrid – with frequent travel to our schools in Liverpool, Ormskirk and Sandbach Salary: £40,000  up to £10,000 performance related annual bonus Those huge small victories We are the highest Ofsted-rated provider in the country for special education and care. Our teams are fulfilled by the idea of making even the smallest positive changes in our young people, so we celebrate the little things. We are looking for someone who can passionately represent Witherslack Group’s visions, aims…",39297.29,5606160497,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTYwNjE2MDQ5NyIsInMiOiIxQVVTcm9RSDhSR0VpOEJ6Q05zSjhnIn0.pcwiHE9ngSSENwCQmvR2024q0ePIrvW3XtvHsMw048g,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Witherslack Group'}",full_time,39297.29
Store Manager Hereford,,2025-12-18T11:32:19Z,Adzuna::API::Response::Job,0,"{'display_name': 'Tram Inn, Hereford', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK', 'West Midlands', 'Herefordshire', 'Hereford', 'Tram Inn']}",-2.715819,52.056282,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'retail-jobs', 'label': 'Retail Jobs'}",https://www.adzuna.co.uk/jobs/land/ad/5546987497?se=1AUSroQH8RGEi8BzCNsJ8g&utm_medium=api&utm_source=aa88ce77&v=019003FCACDD02835EDF2375D702B36445A07588,"Join Our Team as a Retail Store Manager! At EE, we believe technology should bring people together. Our stores are more than just places to buy gadgets – they're destinations where customers can explore, discover, and be inspired by the latest in tech. We're committed to creating a vibrant, welcoming environment where every visit feels like a special occasion. We are looking for a Retail Store Manager who can inspire and lead with passion in a large or high-profile store. If you have a history …",30000.0,5546987497,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMUFVU3JvUUg4UkdFaThCekNOc0o4ZyIsImkiOiI1NTQ2OTg3NDk3In0.9p7zRBC3hIzo8eWZuFzwbyH1nXT9RXoJp_RTXcJGm40,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'EE Retail'}",part_time,32000.0
Nursery Room Manager,,2026-01-22T18:20:57Z,Adzuna::API::Response::Job,0,"{'display_name': 'Englefield, Reading', 'area': ['UK', 'South East England', 'Berkshire', 'Reading', 'Englefield'], '__CLASS__': 'Adzuna::API::Response::Location'}",-1.099804,51.428224,"{'label': 'Teaching Jobs', 'tag': 'teaching-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",https://www.adzuna.co.uk/jobs/land/ad/5595649478?se=1AUSroQH8RGEi8BzCNsJ8g&utm_medium=api&utm_source=aa88ce77&v=87412885E3B9D5940A2976135A5FE1A25FFC3921,"Role Overview:  We’re Opening a Brand-New Busy Bees Nursery in Binfield! Be Part of Something Amazing!  We’re opening a brand-new, three-storey Busy Bees nursery in Binfield and this is YOUR chance to be part of something truly special! 110 little learners will soon be exploring, laughing, and growing—and we need a passionate Room Leader in our Toddler Room, joining us in giving our children the best start in life! This is your chance to be part of something fresh, exciting, and built from the …",31928.0,5595649478,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMUFVU3JvUUg4UkdFaThCekNOc0o4ZyIsImkiOiI1NTk1NjQ5NDc4In0.DnEfP4EMFi7kAd71QDSNW7WyrL54RM2zN_WH7ugGhcE,"{'display_name': 'Busy Bees', '__CLASS__': 'Adzuna::API::Response::Company'}",full_time,31928.0
Asset Management - Senior Manager,,2026-01-08T17:35:15Z,Adzuna::API::Response::Job,1,"{'area': ['UK', 'London'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'London, UK'}",-0.139134,51.503378,"{'label': 'Accounting & Finance Jobs', 'tag': 'accounting-finance-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",https://www.adzuna.co.uk/jobs/land/ad/5574025578?se=1AUSroQH8RGEi8BzCNsJ8g&utm_medium=api&utm_source=aa88ce77&v=1C2D544CB6960E7B7CEBB65638A52935092BDA80,"At Forvis Mazars, we're always looking ahead, for our people, our clients and the wider world. Together, we grow , belong and impact . You'll be supported to learn, explore and develop from day one. We celebrate individuality, encourage bold thinking and believe success comes from working together. With us, you'll belong to your local team, gain global experience, and make a meaningful impact now and in the future. About The Team: Part of our Financial Services division, the Asset Management Au…",71564.35,5574025578,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU3NDAyNTU3OCIsInMiOiIxQVVTcm9RSDhSR0VpOEJ6Q05zSjhnIn0.NQ6YUioIT5oIwXeEWd22voyFao3RN-fF6IXaOZ3S31o,"{'display_name': 'Forvis Mazars', '__CLASS__': 'Adzuna::API::Response::Company'}",full_time,71564.35
Nursery Manager,permanent,2026-01-13T20:34:48Z,Adzuna::API::Response::Job,0,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK', 'South West England', 'Bristol', 'Speedwell'], 'display_name': 'Speedwell, Bristol'}",-2.54129,51.466301,"{'label': 'Teaching Jobs', 'tag': 'teaching-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",https://www.adzuna.co.uk/jobs/details/5582982679?utm_medium=api&utm_source=aa88ce77,"NURSERY MANAGER POSITIONS AVAILABLE ACROSS BRISTOL BS36, BS4 AND BS5 AREAS £3,000 WELCOME BONUS T&Cs Apply) Join Partou, where we put children in the lead! We're seeking a dedicated and passionate Nursery Manager to join us at our Nurseries based int he South West area s . As a nursery manager, you'll have the opportunity to create a safe and supportive environment for children and families. At Partou, we are committed to providing exceptional care, compassion, and continuous learning. These va…",3000.0,5582982679,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMUFVU3JvUUg4UkdFaThCekNOc0o4ZyIsImkiOiI1NTgyOTgyNjc5In0.U27dPlmyJFlNO1IhwN5Zdpi_-S00kImccVQIoYtoLow,"{'display_name': 'Partou', '__CLASS__': 'Adzuna::API::Response::Company'}",full_time,37500.0
Registered Manager,permanent,2026-02-06T08:53:26Z,Adzuna::API::Response::Job,0,"{'display_name': 'UK', 'area': ['UK'], '__CLASS__': 'Adzuna::API::Response::Location'}",,,"{'label': 'Social work Jobs', 'tag': 'social-work-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",https://www.adzuna.co.uk/jobs/land/ad/5617108894?se=1AUSroQH8RGEi8BzCNsJ8g&utm_medium=api&utm_source=aa88ce77&v=30304CD290D736D9E86AA325385E917C0CACB5AE,"Company Description Registered Manager Brighton & Hove (BN3) | Full-Time | Permanent About CCH Group CCH Group is one of the UK’s leading providers of community-based care and support services. We are committed to delivering high-quality, person-centred care while creating supportive, well-led environments where our teams can thrive. We are now seeking an experienced Registered Manager to lead our Brighton & Hove service. This is a key leadership role, offering the opportunity to shape service …",42412.0,5617108894,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTYxNzEwODg5NCIsInMiOiIxQVVTcm9RSDhSR0VpOEJ6Q05zSjhnIn0.LE3cDAQZ1oGs4VQ0By3NQ4JiQO8uRhr0cCcQ1dV4VSM,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'London Care Limited'}",full_time,42412.0
Registered Manager,,2026-02-02T14:00:16Z,Adzuna::API::Response::Job,0,"{'display_name': 'UK', 'area': ['UK'], '__CLASS__': 'Adzuna::API::Response::Location'}",,,"{'label': 'Social work Jobs', 'tag': 'social-work-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",https://www.adzuna.co.uk/jobs/land/ad/5610317895?se=1AUSroQH8RGEi8BzCNsJ8g&utm_medium=api&utm_source=aa88ce77&v=2C23757AAC7332A9E684BBA582A60C852EF57539,"Company Description Registered Branch Manager – Lead, Inspire, and Make an Impact Grimsby office The contract involves delivering over 3,000 hours of weekly care through Comfort Call, one of CCH Group's companies, providing both in-home support and dedicated services within the Burchester Court extra care scheme. Up to £38,556 per annum Are you a dynamic leader with a passion for delivering exceptional care? Join CCH Group, the UK’s largest and most trusted care provider, as a Branch Manager an…",0.0,5610317895,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTYxMDMxNzg5NSIsInMiOiIxQVVTcm9RSDhSR0VpOEJ6Q05zSjhnIn0.dU_BOm-5k1ZCp5j28XfT6m6lbNG_LFT-KTYo56c59zs,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Comfort Call Limited'}",full_time,38556.0
Branch Manager,,2026-01-14T17:21:02Z,Adzuna::API::Response::Job,0,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK'], 'display_name': 'UK'}",,,"{'label': 'Healthcare & Nursing Jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'healthcare-nursing-jobs'}",https://www.adzuna.co.uk/jobs/land/ad/5584305307?se=1AUSroQH8RGEi8BzCNsJ8g&utm_medium=api&utm_source=aa88ce77&v=00FACF875E7625DC1C0990E0E67D1564E56389B8,"Company Description Branch Manager MiHomecare Ely CB7 4EX Up to £31,824 per annum What we offer We’re creating brighter days. Fresh challenges. Exciting opportunities. Plenty of ups, downs and curveballs. With a career as a Branch Manager at MiHomecare every day will be different to the next. Each will offer you the opportunity to do meaningful and rewarding work that makes a real difference to our clients lives and your career. What you’ll do The role of the Branch Manager is to manage the day…",31824.0,5584305307,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU4NDMwNTMwNyIsInMiOiIxQVVTcm9RSDhSR0VpOEJ6Q05zSjhnIn0.iPLI5KjrUyYB6scjcLhO2QRNVQShL2QDv2MHb5hy6T0,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'MiHomecare Limited'}",full_time,31824.0
