description,adref,latitude,salary_max,category,created,company,id,longitude,salary_min,contract_type,location,title,redirect_url,__CLASS__,salary_is_predicted,contract_time
"How would you like to be paid for five days but only work four? Our colleagues’ wellbeing is at the heart of everything we do at OFG, so we’re always looking for new ways to improve everyone’s work/life balance. We’re taking part in a trial of the 4-Day Working Week, meaning that you could be working one day less a week (or equivalent). If the trial is a success, we’ll be rolling the 4DWW out across the Group – so there’s never been a more exciting time to join teamOFG! Job Title: Senior Psycho…",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU0NTE2Mjg5NyIsInMiOiJrblVhcjRRSDhSR1QxdXljaklVWTNnIn0.uuJWqX3AAhABqLxdAXcxYgQqMA_7lkW9trOeOCsQ3ck,50.501714,49000.0,"{'label': 'Social work Jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'social-work-jobs'}",2025-12-17T01:53:19Z,"{'display_name': 'Outcomes First Group', '__CLASS__': 'Adzuna::API::Response::Company'}",5545162897,-4.728489,0.0,permanent,"{'display_name': 'Hellandbridge, Bodmin', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK', 'South West England', 'Cornwall', 'Bodmin', 'Hellandbridge']}",Senior Psychotherapist,https://www.adzuna.co.uk/jobs/land/ad/5545162897?se=knUar4QH8RGT1uycjIUY3g&utm_medium=api&utm_source=aa88ce77&v=D756742953C701E1D981A4C260F142811611B337,Adzuna::API::Response::Job,0,
"Work Smarter. Live Better. Join the 4-Day Working Week! Job Title: Senior Teacher - Vocational Curriculum Location: Bricklehurst Manor School, Stonegate, East Sussex, TN5 7EL Salary: Up to £48,000 per annum depending on experience ( not pro rata ) Hours: 37.5 hours per week | Monday to Friday | 8:00 am - 4:00 pm including 1 x 5pm finish Contract: Permanent | Term Time Only Start: April 2026 UK Applicants Only — this role does not offer sponsorship. At Outcomes First Group, we believe in better …",eyJhbGciOiJIUzI1NiJ9.eyJzIjoia25VYXI0UUg4UkdUMXV5Y2pJVVkzZyIsImkiOiI1NjIzNDcwMTU3In0.o5vkR8O8-dxOcUAXrwfOOXOn0xcCg9VsZpNKKMXbaBw,51.038405,48000.0,"{'label': 'Teaching Jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'teaching-jobs'}",2026-02-10T23:27:47Z,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Outcomes First Group'}",5623470157,0.366847,0.0,permanent,"{'area': ['UK', 'South East England', 'East Sussex', 'Wadhurst', 'Nomanswood'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Nomanswood, Wadhurst'}",Senior Teacher - Vocational Curriculum,https://www.adzuna.co.uk/jobs/land/ad/5623470157?se=knUar4QH8RGT1uycjIUY3g&utm_medium=api&utm_source=aa88ce77&v=DAF8231FC128F699075506B79464FDA057869FB4,Adzuna::API::Response::Job,0,
"Are you looking for an employer who can offer you opportunities for growth and development in your speech and language therapy career- All whilst working within a friendly multidisciplinary team in a rewarding education setting? Do you want to have opportunities to participate in research projects, special interest groups and form part of a wider speech and language therapy network that meets regularly for training & development? Do you want to have flexibility and be able to work creatively to…",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTYwODM4ODQ5NSIsInMiOiJrblVhcjRRSDhSR1QxdXljaklVWTNnIn0.rGl5VE7J9z7jSVYpi342j5IV0oKdYGsHuikCuTn2jJM,51.501597,53200.0,"{'label': 'Healthcare & Nursing Jobs', 'tag': 'healthcare-nursing-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",2026-02-01T07:21:20Z,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Outcomes First Group'}",5608388495,-0.588874,0.0,permanent,"{'display_name': 'Datchet, Slough', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK', 'South East England', 'Berkshire', 'Slough', 'Datchet']}",Senior Speech and Language Therapist,https://www.adzuna.co.uk/jobs/land/ad/5608388495?se=knUar4QH8RGT1uycjIUY3g&utm_medium=api&utm_source=aa88ce77&v=14FC655331AB118C2FE4D4B4720457A29F043CD9,Adzuna::API::Response::Job,0,full_time
"Job Title: Senior Structural Engineer Location: Barrow-in-Furness. We offer a range of hybrid and flexible working arrangements – please speak to your recruiter about the options for this role Salary: Competitive What you’ll be doing: Conducting analysis and design of complex structures in accordance with Eurocodes, British Standards and BAE standards to support Submarine construction You will apply your expertise in regulations and requirements that extend beyond those used within BAE Systems,…",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU4MzM5MDA3MiIsInMiOiJrblVhcjRRSDhSR1QxdXljaklVWTNnIn0.rzGaqBfLZzheAZQuaaacHO5QgM6s2MQV0FnDbyaRecg,54.215492,44587.88,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'engineering-jobs', 'label': 'Engineering Jobs'}",2026-01-14T02:08:50Z,"{'display_name': 'BAE Systems', '__CLASS__': 'Adzuna::API::Response::Company'}",5583390072,-3.275933,44587.88,,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'The Hill, Millom', 'area': ['UK', 'North West England', 'Cumbria', 'Millom', 'The Hill']}",Senior Structural Engineer,https://www.adzuna.co.uk/jobs/land/ad/5583390072?se=knUar4QH8RGT1uycjIUY3g&utm_medium=api&utm_source=aa88ce77&v=055CDC1BC7DC174A6B7EAFA0A2FAA8AEFE1AB845,Adzuna::API::Response::Job,1,
"£53,603 - £61,533 (including paid school holidays)  excellent benefits Those Huge Small Victories Our clinicians are fulfilled by the idea of affecting even the smallest positive changes in our young people, so we celebrate the little things. Get out what you put in This role is based at Luxborough Court School. L uxborough Court School is a brand-new, purpose-built school registered for 150 pupils aged 5-19 with autism. There is a large sports hall with changing facilities (the site was formal…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoia25VYXI0UUg4UkdUMXV5Y2pJVVkzZyIsImkiOiI1NTkyMzExMzg2In0.hI8VfTieWP85e9m8QmdjzxEhzVR0PXu5wYNJ8kgFHV8,,51998.43,"{'label': 'Healthcare & Nursing Jobs', 'tag': 'healthcare-nursing-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",2026-01-20T14:11:55Z,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Witherslack Group'}",5592311386,,51998.43,,"{'display_name': 'The City, Central London', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK', 'London', 'Central London', 'The City']}",Senior Occupational Therapist,https://www.adzuna.co.uk/jobs/land/ad/5592311386?se=knUar4QH8RGT1uycjIUY3g&utm_medium=api&utm_source=aa88ce77&v=A677E2E407A1FC0E862512FF2927AEF3D3EE7968,Adzuna::API::Response::Job,1,full_time
"Role Overview:  We’re Opening a Brand-New Busy Bees Nursery in Binfield! Be Part of Something Amazing!  We’re opening a brand-new, two-storey Busy Bees nursery in Binfield and this is YOUR chance to be part of something truly special! 75 little learners will soon be exploring, laughing, and growing—and we need a passionate Senior Room Leader to join us in giving our children the best start in life! This is your chance to be part of something fresh, exciting, and built from the ground up! Be a f…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoia25VYXI0UUg4UkdUMXV5Y2pJVVkzZyIsImkiOiI1NTg2MzEwNTI1In0.Mv1AY__ZB6y19oeoWcgZmV5rHjKpb48PyUfsbUtA7sI,51.428224,32864.0,"{'label': 'Teaching Jobs', 'tag': 'teaching-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",2026-01-15T17:35:30Z,"{'display_name': 'Busy Bees', '__CLASS__': 'Adzuna::API::Response::Company'}",5586310525,-1.099804,32864.0,,"{'area': ['UK', 'South East England', 'Berkshire', 'Reading', 'Englefield'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Englefield, Reading'}",Senior Nursery Room Leader,https://www.adzuna.co.uk/jobs/land/ad/5586310525?se=knUar4QH8RGT1uycjIUY3g&utm_medium=api&utm_source=aa88ce77&v=3F295944150DD8CDC0F69933F7FE60B09BEC80D8,Adzuna::API::Response::Job,0,full_time
"We're looking for a Senior Engineer to join our Highways Design team based in Salford. Within this role, you can enjoy competitive annual holiday entitlement with opportunities to buy/sell leave, a fantastic, matched pension scheme, a share in the success you help to create by investing in Kier through our Sharesave and Share Incentive Plans and even more Location : Salford, Greater Manchester Hours : 37.5 hours per week - some flexibility on hours available if desired, just let us know when yo…",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTYyMjc1NTY0NyIsInMiOiJrblVhcjRRSDhSR1QxdXljaklVWTNnIn0.nrFywEyg6Vd1Up2PsfV-FLgu_tS1kz3yWG2RMHYHaeE,53.467509,63904.53,"{'label': 'Engineering Jobs', 'tag': 'engineering-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",2026-02-10T16:47:03Z,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Kier Group'}",5622755647,-2.286426,63904.53,,"{'area': ['UK', 'North West England', 'Greater Manchester', 'Manchester', 'Old Trafford'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Old Trafford, Manchester'}",Senior Engineer,https://www.adzuna.co.uk/jobs/land/ad/5622755647?se=knUar4QH8RGT1uycjIUY3g&utm_medium=api&utm_source=aa88ce77&v=2FCBB12DBC17ABBAE50354E3FBECFB831DF7A985,Adzuna::API::Response::Job,1,full_time
"We're looking for a Senior Engineer to join our Design team based in Bristol. Kier Design are a top-25 engineering consultancy, You'll be working within Kier 700 strong internal consultancy Kier Design supporting with the delivery of Civil Infrastructure Engineering related services. You will also contribute to the delivery of more complex services by providing solutions which are safe and buildable whilst achieving the clients' goals. We believe in building teams around our people, rather than…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoia25VYXI0UUg4UkdUMXV5Y2pJVVkzZyIsImkiOiI1NjE4NTExNjgxIn0.xkn-yrMXpoVWv-TwMpC28019DUxeErzGqW85NWBAg3s,51.541871,68073.0,"{'label': 'Engineering Jobs', 'tag': 'engineering-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",2026-02-07T03:19:12Z,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Kier Group'}",5618511681,-2.569606,68073.0,,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Gaunts Earthcott, Almondsbury', 'area': ['UK', 'South West England', 'Bristol', 'Almondsbury', 'Gaunts Earthcott']}",Senior Engineer,https://www.adzuna.co.uk/jobs/land/ad/5618511681?se=knUar4QH8RGT1uycjIUY3g&utm_medium=api&utm_source=aa88ce77&v=41AB52420257B26198315520A0E7F2BC74B1F5BD,Adzuna::API::Response::Job,1,full_time
"We're looking for a Major Projects Senior Mechanical Engineer to join our Building Services Design team based in Salford / Speke . Kier Design are a top-25 engineering consultancy, delivering a wide range of services across all sectors of the built environment, providing construction-focused, innovative and sustainable solutions. We have preferential access to Kier's £11bn project pipeline, including mega projects like High Speed 2 and Hinkley Point C, frameworks with national and local governm…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoia25VYXI0UUg4UkdUMXV5Y2pJVVkzZyIsImkiOiI1NjIyNzU1NjQxIn0.tJT0MDy6GA9CSgnchpepM6QsXXSWbGR8Ap6ZMn7mJlw,53.467509,65256.04,"{'label': 'Engineering Jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'engineering-jobs'}",2026-02-10T16:47:03Z,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Kier Group'}",5622755641,-2.286426,65256.04,,"{'area': ['UK', 'North West England', 'Greater Manchester', 'Manchester', 'Old Trafford'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Old Trafford, Manchester'}",Senior Engineer,https://www.adzuna.co.uk/jobs/land/ad/5622755641?se=knUar4QH8RGT1uycjIUY3g&utm_medium=api&utm_source=aa88ce77&v=6B66CA73489B6C60ED3CAC225D25F26B23262FF0,Adzuna::API::Response::Job,1,full_time
"We're looking for a Major Projects Senior Electrical Engineer to join our Building Services Design team based in Salford / Speke . Kier Design are a top-25 engineering consultancy, delivering a wide range of services across all sectors of the built environment, providing construction-focused, innovative and sustainable solutions. We have preferential access to Kier's £11bn project pipeline, including mega projects like High Speed 2 and Hinkley Point C, frameworks with national and local governm…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoia25VYXI0UUg4UkdUMXV5Y2pJVVkzZyIsImkiOiI1NjIyNzU1NjQ1In0.PbK54VO4kj2KrWcx0SNrO_1985R9swAVxjf4cZEI9WY,53.467509,67053.37,"{'label': 'Trade & Construction Jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'trade-construction-jobs'}",2026-02-10T16:47:03Z,"{'display_name': 'Kier Group', '__CLASS__': 'Adzuna::API::Response::Company'}",5622755645,-2.286426,67053.37,,"{'area': ['UK', 'North West England', 'Greater Manchester', 'Manchester', 'Old Trafford'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Old Trafford, Manchester'}",Senior Engineer,https://www.adzuna.co.uk/jobs/land/ad/5622755645?se=knUar4QH8RGT1uycjIUY3g&utm_medium=api&utm_source=aa88ce77&v=25BEEACDC080B49B4B3AA31CE865DE04E4E12B15,Adzuna::API::Response::Job,1,full_time
